DATA_INIZIO,6000011_5
2010-01-01,55.0
2010-01-02,26.0
2010-01-03,22.0
2010-01-04,32.0
2010-01-05,35.0
2010-01-06,41.0
2010-01-07,57.0
2010-01-08,42.0
2010-01-09,31.0
2010-01-10,33.0
2010-01-11,39.0
2010-01-12,59.0
2010-01-13,83.0
2010-01-14,68.0
2010-01-15,68.0
2010-01-16,56.0
2010-01-17,53.0
2010-01-18,96.0
2010-01-19,62.0
2010-01-20,52.0
2010-01-21,56.0
2010-01-22,71.0
2010-01-23,77.0
2010-01-24,79.0
2010-01-25,78.0
2010-01-26,55.0
2010-01-27,39.0
2010-01-28,36.0
2010-01-29,63.0
2010-01-30,93.0
2010-01-31,41.0
2010-02-01,36.0
2010-02-02,46.0
2010-02-03,68.0
2010-02-04,100.0
2010-02-05,87.0
2010-02-06,25.0
2010-02-07,28.0
2010-02-08,42.0
2010-02-09,57.0
2010-02-10,36.0
2010-02-11,27.0
2010-02-12,39.0
2010-02-13,48.0
2010-02-14,53.0
2010-02-15,90.0
2010-02-16,75.0
2010-02-17,75.0
2010-02-18,66.0
2010-02-19,32.0
2010-02-20,20.0
2010-02-21,19.0
2010-02-22,33.0
2010-02-23,39.0
2010-02-24,49.0
2010-02-25,55.0
2010-02-26,26.9
2010-02-27,34.0
2010-02-28,48.0
2010-03-01,60.0
2010-03-02,62.0
2010-03-03,49.0
2010-03-04,17.0
2010-03-05,25.0
2010-03-06,20.0
2010-03-07,22.0
2010-03-08,41.0
2010-03-09,25.0
2010-03-10,19.0
2010-03-11,31.0
2010-03-12,45.0
2010-03-13,57.0
2010-03-14,48.0
2010-03-15,60.0
2010-03-16,36.0
2010-03-17,38.0
2010-03-18,46.0
2010-03-19,36.0
2010-03-20,45.0
2010-03-21,48.0
2010-03-22,71.0
2010-03-23,43.0
2010-03-24,54.0
2010-03-25,47.0
2010-03-26,39.0
2010-03-27,16.0
2010-03-28,16.0
2010-03-29,22.0
2010-03-30,29.0
2010-03-31,21.0
2010-04-01,18.0
2010-04-02,23.0
2010-04-03,27.0
2010-04-04,22.0
2010-04-05,10.0
2010-04-06,24.0
2010-04-07,27.0
2010-04-08,28.0
2010-04-09,29.0
2010-04-10,33.0
2010-04-11,14.0
2010-04-12,13.0
2010-04-13,13.0
2010-04-14,18.0
2010-04-15,27.0
2010-04-16,27.0
2010-04-17,28.0
2010-04-18,29.0
2010-04-19,26.0
2010-04-20,23.0
2010-04-21,19.0
2010-04-22,27.0
2010-04-23,32.0
2010-04-24,28.0
2010-04-25,27.0
2010-04-26,37.0
2010-04-27,35.0
2010-04-28,23.0
2010-04-29,22.0
2010-04-30,20.0
2010-05-01,20.0
2010-05-02,20.0
2010-05-03,17.0
2010-05-04,43.0
2010-05-05,25.0
2010-05-06,6.0
2010-05-07,12.0
2010-05-08,15.0
2010-05-09,17.0
2010-05-10,31.0
2010-05-11,24.0
2010-05-12,15.0
2010-05-13,13.0
2010-05-14,22.0
2010-05-15,15.0
2010-05-16,6.0
2010-05-17,20.0
2010-05-18,18.0
2010-05-19,24.0
2010-05-20,21.0
2010-05-21,16.0
2010-05-22,14.0
2010-05-23,13.0
2010-05-24,16.0
2010-05-25,18.0
2010-05-26,16.0
2010-05-27,23.0
2010-05-28,30.0
2010-05-29,26.9
2010-05-30,11.0
2010-05-31,11.0
2010-06-01,26.9
2010-06-02,22.0
2010-06-03,17.0
2010-06-04,12.0
2010-06-05,28.0
2010-06-06,23.0
2010-06-07,19.0
2010-06-08,18.0
2010-06-09,19.0
2010-06-10,25.0
2010-06-11,29.0
2010-06-12,27.0
2010-06-13,22.0
2010-06-14,18.0
2010-06-15,24.0
2010-06-16,16.0
2010-06-17,14.0
2010-06-18,8.0
2010-06-19,5.0
2010-06-20,1.0
2010-06-21,8.0
2010-06-22,11.0
2010-06-23,16.0
2010-06-24,17.0
2010-06-25,23.0
2010-06-26,25.0
2010-06-27,23.0
2010-06-28,27.0
2010-06-29,25.0
2010-06-30,24.0
2010-07-01,34.0
2010-07-02,27.0
2010-07-03,25.0
2010-07-04,27.0
2010-07-05,26.0
2010-07-06,26.0
2010-07-07,20.0
2010-07-08,20.0
2010-07-09,24.0
2010-07-10,24.0
2010-07-11,21.0
2010-07-12,28.0
2010-07-13,20.0
2010-07-14,24.0
2010-07-15,26.9
2010-07-16,26.9
2010-07-17,26.0
2010-07-18,24.0
2010-07-19,21.0
2010-07-20,25.0
2010-07-21,26.0
2010-07-22,27.0
2010-07-23,22.0
2010-07-24,10.0
2010-07-25,7.0
2010-07-26,14.0
2010-07-27,15.0
2010-07-28,16.0
2010-07-29,23.0
2010-07-30,14.0
2010-07-31,13.0
2010-08-01,13.0
2010-08-02,18.0
2010-08-03,25.0
2010-08-04,17.0
2010-08-05,15.0
2010-08-06,14.0
2010-08-07,14.0
2010-08-08,12.0
2010-08-09,20.0
2010-08-10,20.0
2010-08-11,24.0
2010-08-12,28.0
2010-08-13,24.0
2010-08-14,23.0
2010-08-15,11.0
2010-08-16,10.0
2010-08-17,13.0
2010-08-18,15.0
2010-08-19,27.0
2010-08-20,29.0
2010-08-21,32.0
2010-08-22,24.0
2010-08-23,16.0
2010-08-24,13.0
2010-08-25,27.0
2010-08-26,25.0
2010-08-27,17.0
2010-08-28,24.0
2010-08-29,5.0
2010-08-30,15.0
2010-08-31,12.0
2010-09-01,13.0
2010-09-02,20.0
2010-09-03,21.0
2010-09-04,22.0
2010-09-05,25.0
2010-09-06,27.0
2010-09-07,25.0
2010-09-08,25.0
2010-09-09,16.0
2010-09-10,17.0
2010-09-11,16.0
2010-09-12,15.0
2010-09-13,19.0
2010-09-14,22.0
2010-09-15,20.0
2010-09-16,23.0
2010-09-17,28.0
2010-09-18,26.0
2010-09-19,11.0
2010-09-20,16.0
2010-09-21,21.0
2010-09-22,25.0
2010-09-23,25.0
2010-09-24,29.0
2010-09-25,7.0
2010-09-26,7.0
2010-09-27,18.0
2010-09-28,22.0
2010-09-29,27.0
2010-09-30,24.0
2010-10-01,27.0
2010-10-02,28.0
2010-10-03,31.0
2010-10-04,25.0
2010-10-05,12.0
2010-10-06,22.0
2010-10-07,28.0
2010-10-08,29.0
2010-10-09,26.0
2010-10-10,26.0
2010-10-11,31.0
2010-10-12,38.0
2010-10-13,47.0
2010-10-14,58.0
2010-10-15,62.0
2010-10-16,40.0
2010-10-17,12.0
2010-10-18,21.0
2010-10-19,22.0
2010-10-20,36.0
2010-10-21,34.0
2010-10-22,54.0
2010-10-23,63.0
2010-10-24,59.0
2010-10-25,13.0
2010-10-26,12.0
2010-10-27,21.0
2010-10-28,36.0
2010-10-29,32.0
2010-10-30,45.0
2010-10-31,25.0
2010-11-01,36.0
2010-11-02,29.0
2010-11-03,28.0
2010-11-04,45.0
2010-11-05,45.0
2010-11-06,37.0
2010-11-07,21.0
2010-11-08,2.0
2010-11-09,11.0
2010-11-10,17.0
2010-11-11,38.0
2010-11-12,41.0
2010-11-13,61.0
2010-11-14,36.0
2010-11-15,41.0
2010-11-16,26.0
2010-11-17,26.0
2010-11-18,32.0
2010-11-19,26.0
2010-11-20,44.0
2010-11-21,29.0
2010-11-22,23.0
2010-11-23,34.0
2010-11-24,23.0
2010-11-25,32.0
2010-11-26,14.0
2010-11-27,26.0
2010-11-28,8.0
2010-11-29,26.9
2010-11-30,26.9
2010-12-01,26.9
2010-12-02,30.0
2010-12-03,38.0
2010-12-04,27.0
2010-12-05,34.0
2010-12-06,48.0
2010-12-07,40.0
2010-12-08,40.0
2010-12-09,30.0
2010-12-10,28.0
2010-12-11,41.0
2010-12-12,47.0
2010-12-13,29.0
2010-12-14,20.0
2010-12-15,49.0
2010-12-16,45.0
2010-12-17,26.9
2010-12-18,26.9
2010-12-19,26.9
2010-12-20,26.9
2010-12-21,26.9
2010-12-22,75.0
2010-12-23,38.0
2010-12-24,30.0
2010-12-25,31.0
2010-12-26,15.0
2010-12-27,34.0
2010-12-28,46.0
2010-12-29,51.0
2010-12-30,68.0
2010-12-31,81.0
2011-01-01,89.0
2011-01-02,94.0
2011-01-03,48.0
2011-01-04,35.0
2011-01-05,48.0
2011-01-06,48.0
2011-01-07,69.0
2011-01-08,80.0
2011-01-09,52.0
2011-01-10,36.0
2011-01-11,30.0
2011-01-12,26.9
2011-01-13,31.0
2011-01-14,30.0
2011-01-15,34.0
2011-01-16,45.0
2011-01-17,36.0
2011-01-18,37.0
2011-01-19,35.0
2011-01-20,11.0
2011-01-21,14.0
2011-01-22,26.0
2011-01-23,30.0
2011-01-24,35.0
2011-01-25,48.0
2011-01-26,78.0
2011-01-27,79.0
2011-01-28,48.0
2011-01-29,41.0
2011-01-30,32.0
2011-01-31,43.0
2011-02-01,55.0
2011-02-02,54.0
2011-02-03,49.0
2011-02-04,42.0
2011-02-05,43.0
2011-02-06,48.0
2011-02-07,50.0
2011-02-08,85.0
2011-02-09,98.0
2011-02-10,89.0
2011-02-11,52.0
2011-02-12,27.0
2011-02-13,57.0
2011-02-14,94.0
2011-02-15,68.0
2011-02-16,26.0
2011-02-17,29.0
2011-02-18,34.0
2011-02-19,32.0
2011-02-20,29.0
2011-02-21,36.0
2011-02-22,40.0
2011-02-23,43.0
2011-02-24,51.0
2011-02-25,44.0
2011-02-26,45.0
2011-02-27,41.0
2011-02-28,39.0
2011-03-01,32.0
2011-03-02,21.0
2011-03-03,26.0
2011-03-04,41.0
2011-03-05,47.0
2011-03-06,43.0
2011-03-07,32.0
2011-03-08,29.0
2011-03-09,38.0
2011-03-10,43.0
2011-03-11,43.0
2011-03-12,38.0
2011-03-13,59.0
2011-03-14,43.0
2011-03-15,40.0
2011-03-16,6.0
2011-03-17,4.0
2011-03-18,26.0
2011-03-19,26.0
2011-03-20,28.0
2011-03-21,40.0
2011-03-22,37.0
2011-03-23,35.0
2011-03-24,33.0
2011-03-25,22.0
2011-03-26,15.0
2011-03-27,25.0
2011-03-28,28.0
2011-03-29,21.0
2011-03-30,18.0
2011-03-31,25.0
2011-04-01,31.0
2011-04-02,31.0
2011-04-03,21.0
2011-04-04,22.0
2011-04-05,11.0
2011-04-06,18.0
2011-04-07,26.0
2011-04-08,37.0
2011-04-09,19.0
2011-04-10,22.0
2011-04-11,22.0
2011-04-12,40.0
2011-04-13,11.0
2011-04-14,18.0
2011-04-15,17.0
2011-04-16,21.0
2011-04-17,23.0
2011-04-18,25.0
2011-04-19,28.0
2011-04-20,27.0
2011-04-21,31.0
2011-04-22,31.0
2011-04-23,29.0
2011-04-24,31.0
2011-04-25,25.0
2011-04-26,29.0
2011-04-27,21.0
2011-04-28,26.0
2011-04-29,27.0
2011-04-30,22.0
2011-05-01,17.0
2011-05-02,20.0
2011-05-03,32.0
2011-05-04,21.0
2011-05-05,19.0
2011-05-06,23.0
2011-05-07,24.0
2011-05-08,22.0
2011-05-09,16.0
2011-05-10,22.0
2011-05-11,24.0
2011-05-12,19.0
2011-05-13,21.0
2011-05-14,13.0
2011-05-15,7.0
2011-05-16,6.0
2011-05-17,12.0
2011-05-18,17.0
2011-05-19,20.0
2011-05-20,24.0
2011-05-21,21.0
2011-05-22,22.0
2011-05-23,27.0
2011-05-24,25.0
2011-05-25,24.0
2011-05-26,26.0
2011-05-27,24.0
2011-05-28,9.0
2011-05-29,9.0
2011-05-30,20.0
2011-05-31,22.0
2011-06-01,16.0
2011-06-02,21.0
2011-06-03,20.0
2011-06-04,19.0
2011-06-05,11.0
2011-06-06,18.0
2011-06-07,24.0
2011-06-08,16.0
2011-06-09,14.0
2011-06-10,23.0
2011-06-11,20.0
2011-06-12,18.0
