DATA_INIZIO,2000003_5,2000003_111
2010-01-01,59.0,48.0
2010-01-02,15.0,12.0
2010-01-03,23.0,17.0
2010-01-04,40.0,37.0
2010-01-05,34.0,31.0
2010-01-06,31.0,25.0
2010-01-07,69.0,56.0
2010-01-08,26.0,19.0
2010-01-09,19.0,12.0
2010-01-10,27.0,18.0
2010-01-11,36.0,24.0
2010-01-12,55.0,43.0
2010-01-13,57.0,52.0
2010-01-14,60.0,50.0
2010-01-15,76.0,60.0
2010-01-16,61.0,48.0
2010-01-17,78.0,64.0
2010-01-18,63.0,56.0
2010-01-19,39.0,30.0
2010-01-20,45.0,34.0
2010-01-21,54.0,42.0
2010-01-22,45.0,32.0
2010-01-23,62.0,51.0
2010-01-24,75.0,60.0
2010-01-25,83.0,66.0
2010-01-26,81.0,63.0
2010-01-27,46.0,35.0
2010-01-28,53.0,43.0
2010-01-29,93.0,74.0
2010-01-30,92.0,80.0
2010-01-31,27.0,21.0
2010-02-01,25.0,20.0
2010-02-02,30.0,25.0
2010-02-03,33.0,25.0
2010-02-04,72.0,52.0
2010-02-05,75.0,63.0
2010-02-06,25.0,14.0
2010-02-07,52.0,36.0
2010-02-08,52.0,37.0
2010-02-09,74.0,53.0
2010-02-10,49.0,36.0
2010-02-11,21.0,16.0
2010-02-12,39.0,34.0
2010-02-13,39.0,32.0
2010-02-14,76.0,68.0
2010-02-15,114.0,88.0
2010-02-16,87.0,68.0
2010-02-17,74.0,56.0
2010-02-18,36.0,23.0
2010-02-19,23.0,14.0
2010-02-20,18.0,14.0
2010-02-21,24.0,18.0
2010-02-22,34.0,26.0
2010-02-23,32.0,21.0
2010-02-24,50.0,34.0
2010-02-25,49.0,29.0
2010-02-26,38.0,26.0
2010-02-27,14.0,9.0
2010-02-28,45.0,33.0
2010-03-01,32.0,20.0
2010-03-02,45.0,28.0
2010-03-03,43.0,27.0
2010-03-04,15.0,9.0
2010-03-05,13.0,14.0
2010-03-06,17.0,14.0
2010-03-07,26.0,25.0
2010-03-08,27.0,26.0
2010-03-09,29.0,24.0
2010-03-10,20.0,18.0
2010-03-11,30.0,27.0
2010-03-12,46.0,37.0
2010-03-13,65.0,52.0
2010-03-14,61.0,46.0
2010-03-15,47.0,32.0
2010-03-16,21.0,9.0
2010-03-17,43.0,22.0
2010-03-18,26.0,11.0
2010-03-19,36.0,18.0
2010-03-20,47.0,24.0
2010-03-21,66.0,46.0
2010-03-22,53.0,36.0
2010-03-23,52.0,28.0
2010-03-24,39.0,24.0
2010-03-25,31.8,19.1
2010-03-26,31.8,19.1
2010-03-27,15.0,8.0
2010-03-28,9.0,7.0
2010-03-29,18.0,8.0
2010-03-30,17.0,7.0
2010-03-31,22.0,12.0
2010-04-01,19.0,11.0
2010-04-02,18.0,12.0
2010-04-03,31.0,19.0
2010-04-04,30.0,18.0
2010-04-05,7.0,5.0
2010-04-06,18.0,9.0
2010-04-07,34.0,20.0
2010-04-08,38.0,21.0
2010-04-09,39.0,22.0
2010-04-10,32.0,17.0
2010-04-11,13.0,6.0
2010-04-12,15.0,6.0
2010-04-13,22.0,11.0
2010-04-14,19.0,10.0
2010-04-15,32.0,17.0
2010-04-16,36.0,19.0
2010-04-17,25.0,17.0
2010-04-18,19.0,10.0
2010-04-19,22.0,11.0
2010-04-20,34.0,16.0
2010-04-21,27.0,13.0
2010-04-22,40.0,20.0
2010-04-23,42.0,23.0
2010-04-24,15.0,5.0
2010-04-25,28.0,17.0
2010-04-26,38.0,26.0
2010-04-27,30.0,18.0
2010-04-28,33.0,19.0
2010-04-29,21.0,12.0
2010-04-30,20.0,11.0
2010-05-01,22.0,13.0
2010-05-02,22.0,11.0
2010-05-03,18.0,7.0
2010-05-04,18.0,6.0
2010-05-05,12.0,0.0
2010-05-06,6.0,3.0
2010-05-07,8.0,3.0
2010-05-08,11.0,9.0
2010-05-09,18.0,12.0
2010-05-10,35.0,18.0
2010-05-11,24.0,9.0
2010-05-12,16.0,4.0
2010-05-13,12.0,4.0
2010-05-14,10.0,4.0
2010-05-15,18.0,8.0
2010-05-16,8.0,4.0
2010-05-17,19.0,12.0
2010-05-18,33.0,14.0
2010-05-19,41.0,19.0
2010-05-20,31.0,18.0
2010-05-21,19.0,10.0
2010-05-22,22.0,9.0
2010-05-23,19.0,7.0
2010-05-24,31.8,19.1
2010-05-25,31.0,11.0
2010-05-26,18.0,7.0
2010-05-27,20.0,7.0
2010-05-28,27.0,14.0
2010-05-29,36.0,15.0
2010-05-30,28.0,8.0
2010-05-31,18.0,5.0
2010-06-01,15.0,4.0
2010-06-02,16.0,6.0
2010-06-03,16.0,10.0
2010-06-04,20.0,9.0
2010-06-05,23.0,13.0
2010-06-06,27.0,14.0
2010-06-07,26.0,11.0
2010-06-08,22.0,7.0
2010-06-09,30.0,11.0
2010-06-10,35.0,15.2
2010-06-11,40.0,16.0
2010-06-12,47.0,16.0
2010-06-13,31.0,11.0
2010-06-14,22.0,8.0
2010-06-15,22.0,10.0
2010-06-16,13.0,5.0
2010-06-17,14.0,3.0
2010-06-18,12.0,4.0
2010-06-19,14.0,7.0
2010-06-20,0.0,1.0
2010-06-21,6.0,3.0
2010-06-22,15.0,9.0
2010-06-23,20.0,12.0
2010-06-24,25.0,15.0
2010-06-25,23.0,16.0
2010-06-26,29.0,17.0
2010-06-27,29.0,18.0
2010-06-28,34.0,19.0
2010-06-29,36.0,20.0
2010-06-30,30.0,16.0
2010-07-01,35.0,16.0
2010-07-02,37.0,20.0
2010-07-03,34.0,19.0
2010-07-04,30.0,15.0
2010-07-05,35.0,19.0
2010-07-06,31.0,15.0
2010-07-07,22.0,10.0
2010-07-08,29.0,13.0
2010-07-09,39.0,19.0
2010-07-10,35.0,18.0
2010-07-11,31.0,16.0
2010-07-12,31.0,16.0
2010-07-13,27.0,14.0
2010-07-14,26.0,12.0
2010-07-15,31.0,14.0
2010-07-16,39.0,17.0
2010-07-17,34.0,17.0
2010-07-18,21.0,12.0
2010-07-19,19.0,8.0
2010-07-20,25.0,13.0
2010-07-21,32.0,15.0
2010-07-22,30.0,13.0
2010-07-23,39.0,17.0
2010-07-24,17.0,6.0
2010-07-25,16.0,8.0
2010-07-26,17.0,8.0
2010-07-27,22.0,12.0
2010-07-28,22.0,9.0
2010-07-29,23.0,7.0
2010-07-30,17.0,7.0
2010-07-31,12.0,5.0
2010-08-01,18.0,8.0
2010-08-02,23.0,11.0
2010-08-03,24.0,12.0
2010-08-04,17.0,5.0
2010-08-05,9.0,2.0
2010-08-06,8.0,4.0
2010-08-07,11.0,6.0
2010-08-08,13.0,9.0
2010-08-09,25.0,14.0
2010-08-10,30.0,14.0
2010-08-11,29.0,15.0
2010-08-12,28.0,14.0
2010-08-13,13.0,7.0
2010-08-14,27.0,13.0
2010-08-15,13.0,5.0
2010-08-16,13.0,6.0
2010-08-17,16.0,6.0
2010-08-18,19.0,9.0
2010-08-19,24.0,13.0
2010-08-20,28.0,12.0
2010-08-21,29.0,19.0
2010-08-22,26.0,17.0
2010-08-23,22.0,8.0
2010-08-24,24.0,10.0
2010-08-25,31.0,13.0
2010-08-26,31.0,13.0
2010-08-27,27.0,11.0
2010-08-28,25.0,9.0
2010-08-29,9.0,3.0
2010-08-30,24.0,10.0
2010-08-31,21.0,11.0
2010-09-01,19.0,10.0
2010-09-02,28.0,13.0
