DATA_INIZIO,3000007_5,3000007_111
2010-01-01,51.0,40.0
2010-01-02,14.0,12.0
2010-01-03,19.0,12.0
2010-01-04,38.0,31.0
2010-01-05,38.0,32.0
2010-01-06,32.0,26.0
2010-01-07,79.0,63.0
2010-01-08,29.0,25.0
2010-01-09,16.0,13.0
2010-01-10,28.0,20.0
2010-01-11,36.0,26.0
2010-01-12,59.0,44.0
2010-01-13,71.0,55.0
2010-01-14,71.0,55.0
2010-01-15,80.0,54.0
2010-01-16,61.0,39.0
2010-01-17,83.0,60.0
2010-01-18,73.0,50.0
2010-01-19,45.0,28.0
2010-01-20,46.0,34.0
2010-01-21,53.0,34.0
2010-01-22,48.0,31.0
2010-01-23,63.0,47.0
2010-01-24,76.0,57.0
2010-01-25,79.0,61.0
2010-01-26,76.0,49.0
2010-01-27,60.0,46.0
2010-01-28,65.0,45.0
2010-01-29,102.0,75.0
2010-01-30,108.0,70.0
2010-01-31,28.0,21.0
2010-02-01,40.0,28.0
2010-02-02,56.0,31.0
2010-02-03,48.0,28.0
2010-02-04,79.0,50.0
2010-02-05,81.0,64.0
2010-02-06,16.0,15.0
2010-02-07,46.0,34.0
2010-02-08,48.0,28.0
2010-02-09,77.0,50.0
2010-02-10,50.0,40.0
2010-02-11,24.0,20.0
2010-02-12,40.0,33.0
2010-02-13,39.0,27.0
2010-02-14,76.0,60.0
2010-02-15,116.0,72.0
2010-02-16,82.0,61.0
2010-02-17,77.0,59.0
2010-02-18,49.0,34.0
2010-02-19,28.0,19.0
2010-02-20,16.0,13.0
2010-02-21,22.0,17.0
2010-02-22,34.0,26.0
2010-02-23,29.1,19.8
2010-02-24,46.0,33.0
2010-02-25,52.0,39.0
2010-02-26,37.0,25.0
2010-02-27,17.0,8.0
2010-02-28,54.0,42.0
2010-03-01,37.0,21.0
2010-03-02,49.0,29.0
2010-03-03,38.0,21.0
2010-03-04,14.0,10.0
2010-03-05,19.0,15.0
2010-03-06,17.0,12.0
2010-03-07,25.0,19.0
2010-03-08,31.0,21.0
2010-03-09,28.0,20.0
2010-03-10,23.0,19.0
2010-03-11,35.0,27.0
2010-03-12,48.0,37.0
2010-03-13,66.0,48.0
2010-03-14,68.0,50.0
2010-03-15,72.0,46.0
2010-03-16,32.0,12.0
2010-03-17,49.0,26.0
2010-03-18,38.0,16.0
2010-03-19,33.0,17.0
2010-03-20,53.0,31.0
2010-03-21,82.0,61.0
2010-03-22,58.0,35.0
2010-03-23,49.0,26.0
2010-03-24,39.0,26.0
2010-03-25,52.0,38.0
2010-03-26,52.0,29.0
2010-03-27,19.0,8.0
2010-03-28,18.0,10.0
2010-03-29,28.0,17.0
2010-03-30,22.0,10.0
2010-03-31,19.0,11.0
2010-04-01,18.0,12.0
2010-04-02,19.0,11.0
2010-04-03,28.0,18.0
2010-04-04,24.0,16.0
2010-04-05,7.0,4.0
2010-04-06,16.0,10.0
2010-04-07,35.0,23.0
2010-04-08,38.0,26.0
2010-04-09,38.0,24.0
